ComCode,WorldImport,ChinaImport
1,2844854335,36327640
2,8203455007,16583287
3,17900666896,2029229420
4,2601069455,12722934
5,1116435248,457724953
6,2277850918,57875106
7,10295498016,478679136
8,18097474100,158782850
9,8662544149,297455641
10,2463460573,11744807
11,1740225753,49926737
12,2455751229,272996594
13,1511115004,240858313
14,124347602,31248859
15,7185767132,55401450
16,5429523763,759521454
17,4245869283,170506593
18,5145812913,35317585
19,7363726802,223566400
20,8548502991,1236874270
21,4793709940,351436606
22,24679202211,78162135
23,2946151922,289173324
24,2174579011,30697187
25,3743405513,478336583
26,2765014258,59971580
27,2.04018E+11,680553347
28,11528123914,1458351184
29,46042074550,8039315794
30,96585973544,1487339208
31,6060888794,188122324
32,4130427035,555938731
33,13542896616,1555989081
34,3433031999,499540294
35,2684378429,371875163
36,845427006,368697075
37,1665424077,39099111
38,13825149110,1225893664
39,54851794483,17565122413
40,27941620038,3735084352
41,752011179,28058093
42,13488245302,7716386559
43,293555293,80370364
44,21122727303,4275231621
45,272015148,27901231
46,581960881,337982570
47,3301617929,8144793
48,16417725671,3593322595
49,4609747991,2300322034
50,84604484,22902249
51,274239579,22548458
52,940319060,237498275
53,237342123,38441960
54,2154635532,554507811
55,1735291324,467406279
56,2225635396,654537653
57,2903824150,647464905
58,764719338,310725701
59,2677190783,556723750
60,1048773098,470910545
61,45774410086,14889974580
62,37824659459,13514606679
63,15434837979,8428552425
64,26611865165,14839501265
65,2494544307,1603877221
66,662765720,616369611
67,2279516687,1710546879
68,8414679525,2125529210
69,6659843775,2613127544
70,7938955057,3225949673
71,58792694075,2957427838
72,28817121559,681475244
73,39168579477,12465018978
74,10101194135,557026355
75,2419851009,54250154
76,23394454894,3536600494
78,1558129703,4673891
79,2233510449,142290975
80,792393051,31619102
81,2666358168,442723260
82,10127784972,3849069095
83,12132280400,5289962067
84,3.49027E+11,1.12339E+11
85,3.56673E+11,1.50044E+11
86,1693521826,605560603
87,2.94555E+11,15558283853
88,30917684303,518023477
89,2555034372,145782095
90,86126615956,12319319182
91,4900975163,805254820
92,1335739522,564868519
93,3018033481,152676180
94,67228070544,34831216989
95,32718140421,26740247796
96,6446071178,3269268706
97,10394497428,285089799
